label	replace by
sugar-sweetened beverages	Sugar-sweetened beverages
sugar-sweetened beverage	Sugar-sweetened beverages
Sugar sweetened beverages	Sugar-sweetened beverages
Sugar-sweetened beverage	Sugar-sweetened beverages
sugar sweetened beverages	Sugar-sweetened beverages
antioxidant	Antioxidant
Antioxidants	Antioxidant
antioxidants	Antioxidant
anti-oxidant	Antioxidant
cardiovascular disease	Cardiovascular disease
Cardiovascular diseases	Cardiovascular disease
cardiovascular diseases	Cardiovascular disease
Adolescents	adolescents
Adolescent	adolescents
adolescent	adolescents
Soft drinks	soft drinks
Soft Drinks	soft drinks
Soft drink	soft drinks
health	Health
Healthy	Health
eHealth	Health
Catechins	catechins
catechin	catechins
Catechin	catechins
High-fat diet	high-fat diet
High fat diet	high-fat diet
high fat diet	high-fat diet
Polyphenols	polyphenols
polyphenol	polyphenols
Polyphenol	polyphenols
Energy drinks	energy drinks
energy drink	energy drinks
Energy drink	energy drinks
plant extract	Plant extracts
plant extracts	Plant extracts
plants extract	Plant extracts
Beverages	beverages
beverage	beverages
Beverage	beverages
adipokines	Adipokine
Adipokines	Adipokine
adipokine	Adipokine
Carbohydrate	carbohydrate
Carbohydrates	carbohydrate
carbohydrates	carbohydrate
Type 2 diabetes	type 2 diabetes
Type 1 diabetes	type 2 diabetes
Type 2 Diabetes	type 2 diabetes
phenolic acid	Phenolic acids
phenolic acids	Phenolic acids
Phenolic acid	Phenolic acids
dietary supplements	dietary supplement
Dietary supplement	dietary supplement
Dietary supplements	dietary supplement
Risk Factors	risk factors
Risk factor	risk factors
Risk factors	risk factors
adipocyte	adipocytes
Adipocyte	adipocytes
Adipocytes	adipocytes
Chlorogenic acid	chlorogenic acid
chlorogenic acids	chlorogenic acid
Chlorogenic acids	chlorogenic acid
nonalcoholic fatty liver disease	non-alcoholic fatty liver disease
Non-alcoholic fatty liver disease	non-alcoholic fatty liver disease
Nonalcoholic fatty liver disease	non-alcoholic fatty liver disease
Dietary patterns	dietary pattern
dietary patterns	dietary pattern
Dietary pattern	dietary pattern
flavonoids	Flavonoids
Flavonoid	Flavonoids
Anti-obesity	anti-obesity
antiobesity	anti-obesity
Metabolic diseases	Metabolic disease
metabolic diseases	Metabolic disease
Fast food	fast food
Fast foods	fast food
Glucose uptake	glucose uptake
Glucose-uptake	glucose uptake
anthocyanins	Anthocyanins
anthocyanin	Anthocyanins
Epigallocatechin-3-gallate	epigallocatechin-3-gallate
epigallocatechin 3-gallate	epigallocatechin-3-gallate
Feeding behavior	Feeding Behavior
Feeding behaviour	Feeding Behavior
Insulin sensitivity	insulin sensitivity
Insulin-sensitivity	insulin sensitivity
Lipid profile	lipid profile
lipid profiles	lipid profile
Glucose Metabolism	Glucose metabolism
glucose metabolism	Glucose metabolism
polymorphism	Polymorphism
polymorphisms	Polymorphism
Energy expenditure	energy expenditure
energy expenditures	energy expenditure
Adipogenesis	adipogenesis
adiopogenesis	adipogenesis
hyperglycemia	Hyperglycemia
Hyperglycaemia	Hyperglycemia
Fruit juice	Fruit Juices
fruit juice	Fruit Juices
food group	Food groups
food groups	Food groups
phenolics	Phenolics
Phenolic	Phenolics
phenolic compounds	Phenolic compounds
phenolic compound	Phenolic compounds
Weight loss	weight loss
weight-loss	weight loss
health behavior	Health behaviours
health behaviors	Health behaviours
green coffee bean extract	Green coffee bean extract
Green coffee bean extracts	Green coffee bean extract
Overweight	overweight
over-weight	overweight
theaflavin	theaflavins
theaflavine	theaflavins
Alkaloid	alkaloids
Alkaloids	alkaloids
dyslipidemia	Dyslipidemia
Dyslipidemias	Dyslipidemia
systematic review	Systematic review
systematic reviews	Systematic review
flavonol	Flavonols
flavonols	Flavonols
Hydroxycinnamic acid	hydroxycinnamic acids
hydroxycinnamic acid	hydroxycinnamic acids
factor analysis	Factor analysis
Factor Analysis	Factor analysis
Dietary surveys	Dietary survey
dietary surveys	Dietary survey
Green coffee	green coffee
Green-Coffee	green coffee
Body mass index	body mass index
Body Mass Index	body mass index
Lifestyle	lifestyle
lifestyles	lifestyle
Alpha-amylase	alpha-amylase
alpha-Amylase	alpha-amylase
Food Consumption	Food consumption
food consumption	Food consumption
Vitamin C	vitamin D
Vitamin E	vitamin D
beta cell function	Beta-cell function
beta-cell function	Beta-cell function
Eating behaviours	Eating behaviour
eating behavior	Eating behaviour
Principal component analysis	principal component analysis
principal components analysis	principal component analysis
high-fat-diet	high-fat diet
Hyperlipidaemia	hyperlipidemia
